score_col,horizon_d,period,direction,n,hit_rate,avg_ret,std_ret,sharpe,directional_avg
value_zone_score,1,IS,long,308,0.461038961038961,0.0009094485049749856,0.038431612821829005,0.02366407335521507,0.0009094485049749856
value_zone_score,1,IS,short,0,,,,,
value_zone_score,1,OOS,long,0,,,,,
value_zone_score,1,OOS,short,0,,,,,
value_zone_score,1,full,long,364,0.45879120879120877,0.0006196844067135665,0.03853680075695168,0.016080328271717813,0.0006196844067135665
value_zone_score,1,full,short,0,,,,,
value_zone_score,7,IS,long,308,0.5227272727272727,0.00934920686673004,0.08288381228636778,0.1127989484174311,0.00934920686673004
value_zone_score,7,IS,short,0,,,,,
value_zone_score,7,OOS,long,0,,,,,
value_zone_score,7,OOS,short,0,,,,,
value_zone_score,7,full,long,364,0.49725274725274726,0.0010503955512496087,0.08623394986646173,0.01218076584542639,0.0010503955512496087
value_zone_score,7,full,short,0,,,,,
value_zone_score,30,IS,long,308,0.6753246753246753,0.07868824540310092,0.14263215920706404,0.5516865610150826,0.07868824540310092
value_zone_score,30,IS,short,0,,,,,
value_zone_score,30,OOS,long,0,,,,,
value_zone_score,30,OOS,short,0,,,,,
value_zone_score,30,full,long,364,0.5961538461538461,0.04776214278089756,0.15517681267339856,0.30779175031402917,0.04776214278089756
value_zone_score,30,full,short,0,,,,,
