score_col,horizon_d,period,direction,n,hit_rate,avg_ret,std_ret,sharpe,directional_avg
horizontal_reclaim_score,1,IS,long,298,0.5503355704697986,0.006278476288957519,0.04723914104167809,0.13290834995111686,0.006278476288957519
horizontal_reclaim_score,1,IS,short,0,,,,,
horizontal_reclaim_score,1,OOS,long,33,0.45454545454545453,0.006152118442538268,0.03450689448449556,0.17828664487041868,0.006152118442538268
horizontal_reclaim_score,1,OOS,short,0,,,,,
horizontal_reclaim_score,1,full,long,373,0.546916890080429,0.007055994188321662,0.048653809282553355,0.1450244963830993,0.007055994188321662
horizontal_reclaim_score,1,full,short,0,,,,,
horizontal_reclaim_score,7,IS,long,298,0.6140939597315436,0.0425506859826479,0.13581738103976027,0.31329337715760597,0.0425506859826479
horizontal_reclaim_score,7,IS,short,0,,,,,
horizontal_reclaim_score,7,OOS,long,33,0.6363636363636364,0.043794293683556876,0.09979424365771132,0.4388458900872966,0.043794293683556876
horizontal_reclaim_score,7,OOS,short,0,,,,,
horizontal_reclaim_score,7,full,long,373,0.5871313672922251,0.040784102799366596,0.1367605992765197,0.2982152974988373,0.040784102799366596
horizontal_reclaim_score,7,full,short,0,,,,,
horizontal_reclaim_score,30,IS,long,298,0.6073825503355704,0.11148292880133259,0.2801412581780477,0.39795255267425855,0.11148292880133259
horizontal_reclaim_score,30,IS,short,0,,,,,
horizontal_reclaim_score,30,OOS,long,32,0.78125,0.143868197071644,0.19167338638286624,0.7505903651343034,0.143868197071644
horizontal_reclaim_score,30,OOS,short,0,,,,,
horizontal_reclaim_score,30,full,long,372,0.6155913978494624,0.13237840482207705,0.3118014122260984,0.42455999117183185,0.13237840482207705
horizontal_reclaim_score,30,full,short,0,,,,,
