score_col,horizon_d,period,direction,n,hit_rate,avg_ret,std_ret,sharpe,directional_avg
htf_reclaim_score,1,IS,long,39,0.48717948717948717,0.0037131698221663867,0.021994182815908005,0.16882508676251962,0.0037131698221663867
htf_reclaim_score,1,IS,short,0,,,,,
htf_reclaim_score,1,OOS,long,8,0.5,0.007589403466512976,0.018830265212603718,0.40304283454452555,0.007589403466512976
htf_reclaim_score,1,OOS,short,0,,,,,
htf_reclaim_score,1,full,long,56,0.5178571428571429,0.005200448164937384,0.02453244596743648,0.21198245669593152,0.005200448164937384
htf_reclaim_score,1,full,short,0,,,,,
htf_reclaim_score,7,IS,long,39,0.6923076923076923,0.025763696254905356,0.10304606579257544,0.2500211537116408,0.025763696254905356
htf_reclaim_score,7,IS,short,0,,,,,
htf_reclaim_score,7,OOS,long,5,0.4,0.0002873818842713538,0.05300227300192292,0.005422067167967072,0.0002873818842713538
htf_reclaim_score,7,OOS,short,0,,,,,
htf_reclaim_score,7,full,long,53,0.5849056603773585,0.014794215874667487,0.10702384121007769,0.1382328993932094,0.014794215874667487
htf_reclaim_score,7,full,short,0,,,,,
htf_reclaim_score,30,IS,long,39,0.6923076923076923,0.07952974609506297,0.1744385587591192,0.4559183855954976,0.07952974609506297
htf_reclaim_score,30,IS,short,0,,,,,
htf_reclaim_score,30,OOS,long,4,0.0,-0.14258856689792096,0.0933241898592315,-1.5278843257358994,-0.14258856689792096
htf_reclaim_score,30,OOS,short,0,,,,,
htf_reclaim_score,30,full,long,52,0.5576923076923077,0.03189409753665617,0.19894553339849969,0.1603157255748507,0.03189409753665617
htf_reclaim_score,30,full,short,0,,,,,
