score_col,horizon_d,period,direction,n,hit_rate,avg_ret,std_ret,sharpe,directional_avg
range_fade_score,1,IS,long,33,0.6060606060606061,0.0033419366463102915,0.028763983560503567,0.11618476416108009,0.0033419366463102915
range_fade_score,1,IS,short,80,0.3875,0.008940195814368402,0.026905981129358297,-0.33227540640074865,-0.008940195814368402
range_fade_score,1,OOS,long,12,0.6666666666666666,0.01038881660080676,0.013823146674226025,0.7515522221996854,0.01038881660080676
range_fade_score,1,OOS,short,29,0.4482758620689655,0.0026157338212740673,0.015387533560905598,-0.1699904543454412,-0.0026157338212740673
range_fade_score,1,full,long,57,0.631578947368421,0.008316835392911382,0.02751063468204096,0.30231346855623953,0.008316835392911382
range_fade_score,1,full,short,123,0.4146341463414634,0.007276829761055733,0.02841709104306209,-0.2560722964229071,-0.007276829761055733
range_fade_score,7,IS,long,33,0.5151515151515151,0.023019442520696175,0.07500909328092681,0.30688869194142787,0.023019442520696175
range_fade_score,7,IS,short,80,0.3375,0.026415894934259575,0.09853833455504014,-0.2680773432344197,-0.026415894934259575
range_fade_score,7,OOS,long,12,0.9166666666666666,0.041593394992631295,0.04530682157051009,0.918038245695526,0.041593394992631295
range_fade_score,7,OOS,short,29,0.41379310344827586,0.01244600506039591,0.0388527017104868,-0.32033821362380543,-0.01244600506039591
range_fade_score,7,full,long,57,0.631578947368421,0.021863234848410677,0.06672833132594962,0.32764546054081234,0.021863234848410677
range_fade_score,7,full,short,123,0.37398373983739835,0.025024186668214116,0.0995575621525727,-0.25135395169544594,-0.025024186668214116
range_fade_score,30,IS,long,33,0.48484848484848486,0.0277924325771126,0.19814973228721502,0.14025975335070295,0.0277924325771126
range_fade_score,30,IS,short,80,0.35,0.12129652237556936,0.22814437987754219,-0.5316656164867001,-0.12129652237556936
range_fade_score,30,OOS,long,12,1.0,0.07323803106132337,0.059155888881107385,1.2380514002336866,0.07323803106132337
range_fade_score,30,OOS,short,22,0.5454545454545454,-0.026222503874437933,0.0692832913685829,0.378482363589452,0.026222503874437933
range_fade_score,30,full,long,57,0.631578947368421,0.023052817574193668,0.1812299519825698,0.12720202881481105,0.023052817574193668
range_fade_score,30,full,short,116,0.3706896551724138,0.09091855975558809,0.2206349429300827,-0.41207688387056346,-0.09091855975558809
