score_col,horizon_d,period,direction,n,hit_rate,avg_ret,std_ret,sharpe,directional_avg
vol_squeeze_on,1,IS,long,3911,0.5136793658910764,0.00022682903740038404,0.012768917580183038,0.017764155495248526,0.00022682903740038404
vol_squeeze_on,1,IS,short,0,,,,,
vol_squeeze_on,1,OOS,long,486,0.5020576131687243,4.798911361671617e-05,0.008865753661879625,0.005412863412058984,4.798911361671617e-05
vol_squeeze_on,1,OOS,short,0,,,,,
vol_squeeze_on,1,full,long,5416,0.516248153618907,0.0003549799439877051,0.013218531261661415,0.02685471910311829,0.0003549799439877051
vol_squeeze_on,1,full,short,0,,,,,
vol_squeeze_on,7,IS,long,3911,0.5139350549731526,0.00128192251904295,0.036143723843373166,0.03546736148710328,0.00128192251904295
vol_squeeze_on,7,IS,short,0,,,,,
vol_squeeze_on,7,OOS,long,486,0.5390946502057613,0.0003303703619674005,0.022117820549145305,0.01493684069066954,0.0003303703619674005
vol_squeeze_on,7,OOS,short,0,,,,,
vol_squeeze_on,7,full,long,5416,0.5223412112259971,0.0019172827559693194,0.03776264883420182,0.05077193510410813,0.0019172827559693194
vol_squeeze_on,7,full,short,0,,,,,
vol_squeeze_on,30,IS,long,3911,0.5305548453081054,0.01007158392535234,0.06892606540265,0.14612155599650864,0.01007158392535234
vol_squeeze_on,30,IS,short,0,,,,,
vol_squeeze_on,30,OOS,long,483,0.5403726708074534,0.003335657552741923,0.03605726323112248,0.09251000363951034,0.003335657552741923
vol_squeeze_on,30,OOS,short,0,,,,,
vol_squeeze_on,30,full,long,5413,0.5351930537594679,0.009408985723973532,0.07218266387291151,0.13034966041900964,0.009408985723973532
vol_squeeze_on,30,full,short,0,,,,,
vol_expansion_dir,1,IS,long,7034,0.5100938299687233,0.0005005137532190817,0.012978918754046914,0.03856359398682715,0.0005005137532190817
vol_expansion_dir,1,IS,short,6162,0.47987666342096724,9.753582072875264e-05,0.014522313093257997,-0.006716273096607025,-9.753582072875264e-05
vol_expansion_dir,1,OOS,long,1121,0.4790365744870651,-0.00011407237589957185,0.008211822531944336,-0.013891237353927888,-0.00011407237589957185
vol_expansion_dir,1,OOS,short,1069,0.47333956969130025,6.082046009261767e-05,0.0092809225803948,-0.006553277388725985,-6.082046009261767e-05
vol_expansion_dir,1,full,long,10114,0.5091951750049436,0.00044017214853443536,0.013525991587144692,0.0325426898056614,0.00044017214853443536
vol_expansion_dir,1,full,short,8971,0.4806599041355479,6.164011567946586e-05,0.016017679927790754,-0.0038482549256412565,-6.164011567946586e-05
vol_expansion_dir,7,IS,long,7034,0.5126528291157236,0.0031138483410206134,0.03486412710096219,0.08931381910131564,0.0031138483410206134
vol_expansion_dir,7,IS,short,6162,0.4691658552418046,0.00114085335039238,0.03806551907476925,-0.029970781382265856,-0.00114085335039238
vol_expansion_dir,7,OOS,long,1115,0.48071748878923765,-0.0009411800223808549,0.021287076909669113,-0.04421368074041898,-0.0009411800223808549
vol_expansion_dir,7,OOS,short,1069,0.45182413470533206,0.0005178218219084328,0.02522397709193639,-0.02052895227509425,-0.0005178218219084328
vol_expansion_dir,7,full,long,10108,0.5105856747130986,0.002648757885550983,0.03626989024997254,0.07302911222768281,0.002648757885550983
