test,symbol,period,horizon_bars,n,hit_rate,avg_ret,sharpe
alt_btc_rs_breakout,AVAX/USDT,IS,6,472,0.4915254237288136,0.00920500234489969,0.11008112081853821
alt_btc_rs_breakout,AVAX/USDT,IS,18,472,0.527542372881356,0.04947005344093633,0.23862504818038283
alt_btc_rs_breakout,AVAX/USDT,IS,42,472,0.5211864406779662,0.0978668599052413,0.2569799157872874
alt_btc_rs_breakout,AVAX/USDT,OOS,6,86,0.5116279069767442,0.0031406695956844853,0.0729162166077664
alt_btc_rs_breakout,AVAX/USDT,OOS,18,86,0.46511627906976744,-0.008316990020411204,-0.10994065069852872
alt_btc_rs_breakout,AVAX/USDT,OOS,42,81,0.5555555555555556,0.019034144552131996,0.1787391347065762
alt_btc_rs_breakout,AVAX/USDT,full,6,558,0.4946236559139785,0.008270356078891612,0.10502817913319352
alt_btc_rs_breakout,AVAX/USDT,full,18,558,0.517921146953405,0.040563806599223276,0.20904663211319452
alt_btc_rs_breakout,AVAX/USDT,full,42,553,0.5262206148282098,0.0863199341482759,0.24301054274840492
btc_impulse_alt_lag,AVAX/USDT,IS,1,97,0.5257731958762887,0.004964592203642007,0.1330065060986046
btc_impulse_alt_lag,AVAX/USDT,IS,3,97,0.4845360824742268,0.01204316293676774,0.20037279403436714
btc_impulse_alt_lag,AVAX/USDT,IS,6,97,0.5360824742268041,0.026591018151995195,0.2892724009198553
btc_impulse_alt_lag,AVAX/USDT,OOS,1,2,1.0,0.016221177736631454,3.6421329181720457
btc_impulse_alt_lag,AVAX/USDT,OOS,3,2,1.0,0.07390394952708013,2.5458115586837877
btc_impulse_alt_lag,AVAX/USDT,OOS,6,2,1.0,0.07324191446823547,1.0064994568202925
btc_impulse_alt_lag,AVAX/USDT,full,1,99,0.5353535353535354,0.005191997971985229,0.1403997532497902
btc_impulse_alt_lag,AVAX/USDT,full,3,99,0.494949494949495,0.013292875797178092,0.22081738947949858
btc_impulse_alt_lag,AVAX/USDT,full,6,99,0.5454545454545454,0.02753346050181823,0.3008611617356744
ethbtc_above_ma,AVAX/USDT,IS,42,4259,0.4778116928856539,0.03854249257292971,0.13178288299700508
ethbtc_below_ma,AVAX/USDT,IS,42,5917,0.48487409160047323,0.015075507095771136,0.10400536479016702
ethbtc_above_ma,AVAX/USDT,OOS,42,1182,0.4170896785109983,-0.024190406619129638,-0.2315087387609449
ethbtc_below_ma,AVAX/USDT,OOS,42,967,0.5346432264736298,0.00415600572365821,0.051613551800173754
ethbtc_above_ma,AVAX/USDT,full,42,5441,0.4646204741775409,0.02491443029669112,0.09417283386341298
ethbtc_below_ma,AVAX/USDT,full,42,6884,0.49186519465427075,0.013541637568340401,0.09828558238454436
alt_btc_rs_breakout,LINK/USDT,IS,6,728,0.49725274725274726,0.001445230119115166,0.021558241200344254
