symbol,direction,horizon_bars,n,hit_rate,avg_ret,directional_avg,sharpe,rows,first,last
SOL/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SOL/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SOL/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SOL/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SOL/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SOL/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
AVAX/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
AVAX/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
AVAX/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
AVAX/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
AVAX/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
AVAX/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
LINK/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
LINK/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
LINK/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
LINK/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
LINK/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
LINK/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
ARB/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
ARB/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
ARB/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
ARB/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
ARB/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
ARB/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
OP/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
OP/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
OP/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
OP/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
OP/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
