symbol,status,rows,earliest,latest,error
BTC/USDT,ok,15596,2019-04-02 16:00:00,2026-05-15 12:00:00,
ETH/USDT,ok,15596,2019-04-02 16:00:00,2026-05-15 12:00:00,
SOL/USDT,ok,12621,2020-08-11 04:00:00,2026-05-15 12:00:00,
AVAX/USDT,ok,12369,2020-09-22 04:00:00,2026-05-15 12:00:00,
LINK/USDT,ok,15596,2019-04-02 16:00:00,2026-05-15 12:00:00,
ARB/USDT,ok,6895,2023-03-23 12:00:00,2026-05-15 12:00:00,
OP/USDT,ok,8666,2022-06-01 08:00:00,2026-05-15 12:00:00,
DOGE/USDT,ok,15035,2019-07-05 12:00:00,2026-05-15 12:00:00,
XRP/USDT,ok,15596,2019-04-02 16:00:00,2026-05-15 12:00:00,
BNB/USDT,ok,15596,2019-04-02 16:00:00,2026-05-15 12:00:00,
ADA/USDT,ok,15596,2019-04-02 16:00:00,2026-05-15 12:00:00,
DOT/USDT,ok,12575,2020-08-18 20:00:00,2026-05-15 12:00:00,
ATOM/USDT,ok,15437,2019-04-29 04:00:00,2026-05-15 12:00:00,
NEAR/USDT,ok,12237,2020-10-14 04:00:00,2026-05-15 12:00:00,
INJ/USDT,ok,12195,2020-10-21 04:00:00,2026-05-15 12:00:00,
APT/USDT,ok,7828,2022-10-19 00:00:00,2026-05-15 12:00:00,
SUI/USDT,ok,6649,2023-05-03 12:00:00,2026-05-15 12:00:00,
SEI/USDT,ok,6025,2023-08-15 12:00:00,2026-05-15 12:00:00,
TIA/USDT,ok,5562,2023-10-31 16:00:00,2026-05-15 12:00:00,
WLD/USDT,ok,6158,2023-07-24 08:00:00,2026-05-15 12:00:00,
FET/USDT,ok,15596,2019-04-02 16:00:00,2026-05-15 12:00:00,
RENDER/USDT,ok,3950,2024-07-26 08:00:00,2026-05-15 12:00:00,
RNDR/USDT,ok,5807,2021-11-27 08:00:00,2024-07-22 00:00:00,
TAO/USDT,ok,4585,2024-04-11 12:00:00,2026-05-15 12:00:00,
JUP/USDT,ok,5010,2024-01-31 16:00:00,2026-05-15 12:00:00,
DYDX/USDT,ok,10258,2021-09-09 00:00:00,2026-05-15 12:00:00,
GMX/USDT,ok,7910,2022-10-05 08:00:00,2026-05-15 12:00:00,
UNI/USDT,ok,12400,2020-09-17 00:00:00,2026-05-15 12:00:00,
AAVE/USDT,ok,12232,2020-10-15 00:00:00,2026-05-15 12:00:00,
LDO/USDT,ok,8804,2022-05-09 08:00:00,2026-05-15 12:00:00,
PENDLE/USDT,ok,6284,2023-07-03 08:00:00,2026-05-15 12:00:00,
ONDO/USDT,ok,2395,2025-04-11 12:00:00,2026-05-15 12:00:00,
FIL/USDT,ok,12228,2020-10-15 16:00:00,2026-05-15 12:00:00,
PEPE/USDT,ok,6636,2023-05-05 16:00:00,2026-05-15 12:00:00,
SHIB/USDT,ok,10988,2021-05-10 08:00:00,2026-05-15 12:00:00,
WIF/USDT,ok,4807,2024-03-05 12:00:00,2026-05-15 12:00:00,
FLOKI/USDT,ok,6636,2023-05-05 16:00:00,2026-05-15 12:00:00,
BONK/USDT,ok,5294,2023-12-15 08:00:00,2026-05-15 12:00:00,
