score_col,horizon_d,period,direction,n,hit_rate,avg_ret,std_ret,sharpe,directional_avg
mechanical_buy_score,1,IS,long,191,0.4293193717277487,-0.0016119349653759077,0.04250570830124076,-0.03792278801595349,-0.0016119349653759077
mechanical_buy_score,1,IS,short,0,,,,,
mechanical_buy_score,1,OOS,long,0,,,,,
mechanical_buy_score,1,OOS,short,0,,,,,
mechanical_buy_score,1,full,long,226,0.4247787610619469,-0.0021370734301495854,0.04222593609593399,-0.05061044532664293,-0.0021370734301495854
mechanical_buy_score,1,full,short,0,,,,,
mechanical_buy_score,7,IS,long,191,0.49214659685863876,0.012565973598732478,0.08500868425482279,0.14781988109667246,0.012565973598732478
mechanical_buy_score,7,IS,short,0,,,,,
mechanical_buy_score,7,OOS,long,0,,,,,
mechanical_buy_score,7,OOS,short,0,,,,,
mechanical_buy_score,7,full,long,226,0.4557522123893805,0.0006771927499689705,0.08977928609204758,0.0075428618275563955,0.0006771927499689705
mechanical_buy_score,7,full,short,0,,,,,
mechanical_buy_score,30,IS,long,191,0.680628272251309,0.09277369816241092,0.14610973810383118,0.6349590339863752,0.09277369816241092
mechanical_buy_score,30,IS,short,0,,,,,
mechanical_buy_score,30,OOS,long,0,,,,,
mechanical_buy_score,30,OOS,short,0,,,,,
mechanical_buy_score,30,full,long,226,0.5929203539823009,0.058167382418163174,0.16158003016731515,0.35999115953828703,0.058167382418163174
mechanical_buy_score,30,full,short,0,,,,,
